03:36:14.075 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
03:36:14.076 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1040 ms
03:36:15.573 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9119"]
03:36:15.584 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9119 (http) with context path ''
03:36:15.591 [main] INFO  c.o.p.PermissionDemoApplication - Started PermissionDemoApplication in 3.013 seconds (JVM running for 3.962)
03:36:17.775 [http-nio-9119-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
03:36:17.775 [http-nio-9119-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
03:36:17.776 [http-nio-9119-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
03:36:17.804 [http-nio-9119-exec-1] ERROR c.o.p.c.a.GlobalExceptionHandler - 异常类型: java.lang.NullPointerException，异常详情：null，异常文件：JwtUtils.java，异常方法：getUserId，行号：73
03:36:56.790 [http-nio-9119-exec-2] ERROR c.o.p.c.a.GlobalExceptionHandler - 异常类型: java.lang.NullPointerException，异常详情：null，异常文件：JwtUtils.java，异常方法：getUserId，行号：73
03:39:29.989 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
03:39:29.999 [main] INFO  c.o.p.PermissionDemoApplication - Starting PermissionDemoApplication using Java 1.8.0_191 on DESKTOP-7P2EMS6 with PID 4540 (E:\idea_workspace\permission-demo\target\classes started by oldman in E:\idea_workspace\permission-demo)
03:39:29.999 [main] INFO  c.o.p.PermissionDemoApplication - No active profile set, falling back to default profiles: default
03:39:30.584 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
03:39:30.586 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
